,01.03.2025 03:34:08,02.03.2025 03:31:05,03.03.2025 03:32:46,04.03.2025 03:32:04,05.03.2025 03:31:34,07.02.2025 19:33:44,08.02.2025 03:25:10,09.02.2025 03:27:10,10.02.2025 03:29:05,11.02.2025 03:27:26,12.02.2025 03:26:28,12.03.2025 03:32:27,13.02.2025 03:27:33,13.03.2025 03:33:48,14.02.2025 03:27:18,14.03.2025 03:33:33,15.02.2025 03:27:16,15.03.2025 03:30:58,16.02.2025 03:29:19,16.03.2025 03:34:28,17.02.2025 03:29:57,17.03.2025 03:35:03,18.02.2025 03:26:25,18.03.2025 03:34:26,19.02.2025 03:31:31,19.03.2025 03:34:16,20.02.2025 03:28:07,20.03.2025 03:32:58,21.02.2025 03:28:08,21.03.2025 03:33:50,22.02.2025 03:26:12,22.03.2025 03:35:58,23.02.2025 03:28:40,23.03.2025 03:37:05,24.02.2025 03:30:36,24.03.2025 03:38:29,25.02.2025 03:31:05,26.02.2025 03:31:11,27.02.2025 03:30:44,28.02.2025 03:30:44
06.09 - 13.09,5705,5705,5705,5705,5705,4991,4991,4991,4991,4991,4991,5705,4991,5705,4991,5705,5051,5705,5111,5765,5111,5765,5655,5765,5655,5765,5655,5765,5655,5765,5655,5766,5655,5766,5655,5766,5655,5655,5705,5705
13.09 - 20.09,5291,5291,5291,5291,5291,5158,5158,5158,5158,5241,5241,5291,5241,5291,5241,5291,5241,5291,5241,5291,5241,5291,5241,5291,5241,5291,5241,5291,5241,5291,5241,5292,5241,5292,5241,5292,5241,5241,5291,5291
20.09 - 27.09,5784,5784,5784,5784,5784,5370,5370,5370,5370,5455,5574,5784,5634,5784,5634,5784,5634,5784,5634,,5634,,5734,5784,5734,5784,5734,5784,5734,5784,5734,5784,5734,5784,5734,5784,5734,5734,5784,5784
27.09 - 04.10,5503,5563,5563,5563,5563,5041,5041,5041,5041,5124,5243,5623,5243,5723,5243,5723,5243,5723,5243,5688,5243,5688,5393,5688,5393,5688,,5748,5393,5748,5393,5749,5393,5749,5393,5749,5393,5393,5443,5503
07.11 - 14.11,5438,5438,5438,5438,5438,,,,,,,5438,,5438,,5438,,5438,,5438,,5438,,5438,,5438,,5438,,5438,,5438,,5438,,5438,,,,5438
21.11 - 28.11,5538,5538,5538,5538,5538,,,,,,,5538,,5538,,5538,,5538,,5538,,5538,,5538,,5538,,5538,,5538,,5538,,5538,,5538,,,,
13.02 - 20.02,5732,5732,5732,5732,5732,,,,,,,5732,,5732,,5732,,5732,,5732,,,,5732,,5732,,5732,,5732,,5732,,5732,,5732,,,,
14.02 - 21.02,,,,,,4776,4776,3881,4419,5073,5073,,,,5014,,,,,,,,,,,,,,,,,,,,,,,,,
06.03 - 13.03,5632,5632,5632,5632,5632,,,,,,,5632,,5632,,5632,,5632,,5632,,5632,,5632,,5632,,5632,,5632,,5632,,5632,,5632,,,,
20.03 - 27.03,5632,5632,5632,5632,5632,,,,,,,5632,,5632,,5632,,5632,,,,,,5632,,5632,,5632,,5632,,5632,,5632,,5632,,,,5632
